Year,Player Name,Salary (Unadjusted),Salary (Adjusted)
1990-1991,Patrick Ewing,"$4,250,000","$9,982,396"
1990-1991,Hot Rod Williams,"$3,785,000","$8,890,204"
1990-1991,Hakeem Olajuwon,"$3,175,000","$7,457,437"
1990-1991,Charles Barkley,"$2,900,000","$6,811,517"
1990-1991,Chris Mullin,"$2,850,000","$6,694,077"
1990-1991,Isiah Thomas,"$2,720,000","$6,388,733"
1990-1991,Danny Ferry,"$2,640,000","$6,200,829"
1990-1991,Robert Parish,"$2,500,000","$5,871,997"
1990-1991,Michael Jordan,"$2,500,000","$5,871,997"
1990-1991,Moses Malone,"$2,406,000","$5,651,210"
1990-1991,Magic Johnson,"$2,400,000","$5,637,117"
1990-1991,Wayman Tisdale,"$2,330,000","$5,472,701"
1990-1991,Pervis Ellison,"$2,300,000","$5,402,237"
1990-1991,David Robinson,"$2,265,000","$5,320,029"
1990-1991,Karl Malone,"$2,260,000","$5,308,285"
1990-1991,Ralph Sampson,"$2,250,000","$5,284,797"
1990-1991,Danny Manning,"$2,200,000","$5,167,357"
1990-1991,Blair Rasmussen,"$2,185,000","$5,132,125"
1990-1991,Chuck Person,"$2,150,000","$5,049,918"
1990-1991,Derrick Coleman,"$2,100,000","$4,932,478"
1990-1991,Dominique Wilkins,"$2,065,000","$4,850,270"
1990-1991,Tom Chambers,"$2,060,000","$4,838,526"
1990-1991,Sam Bowie,"$2,000,000","$4,697,598"
1990-1991,LaSalle Thompson,"$2,000,000","$4,697,598"
1990-1991,Willie Burton,"$2,000,000","$4,697,598"
1990-1991,Terry Porter,"$2,000,000","$4,697,598"
1990-1991,John Stockton,"$2,000,000","$4,697,598"
1990-1991,Mark Eaton,"$2,000,000","$4,697,598"
1990-1991,Sam Perkins,"$1,970,000","$4,627,134"
1990-1991,Terry Cummings,"$1,860,000","$4,368,766"
1990-1991,Sean Elliott,"$1,800,000","$4,227,838"
1990-1991,Mark Jackson,"$1,785,000","$4,192,606"
1990-1991,Otis Thorpe,"$1,760,000","$4,133,886"
1990-1991,A.C. Green,"$1,750,000","$4,110,398"
1990-1991,Benoit Benjamin,"$1,750,000","$4,110,398"
1990-1991,Kevin Johnson,"$1,750,000","$4,110,398"
1990-1991,Kevin Duckworth,"$1,710,000","$4,016,446"
1990-1991,Alton Lister,"$1,700,000","$3,992,958"
